# Traducciones de UI de DCSS - Combate
# Fuente: fight.cc, melee-attack.cc, ranged-attack.cc, attack.cc, throw.cc
# Formato: Texto Inglés|Texto Español
# ============================================================================

's weak point|punto débil de
You lunge%s at %s%s.|Pulsófilo1 en %s%s.
You miscast %s.|malinterpretó %s.
You nearly stumble into %s!|¡Casi tropiezas con %s!
You need at least %d gold to offer a bribe.|Necesitas al menos oro %d para ofrecer un soborno.
You need at least %d gold to purchase potions right now!|¡Necesita al menos oro %d para comprar pociones ahora mismo!
You need at least %d runes to enter the Realm of Zot.|necesita al menos %d runes para entrar en el reino de Zot.
You need more space to imprison %s.|Necesitas más espacio para encarcelar a %s.
You now have %d gold piece%s.|Ahora tienes %d pieza de oro%s.
You pay a tithe of %d gold.|Pagas un diezmo de oro %d.
You place your %s atop %s's lifeless body and utter a vengeful prayer.|Colocas tu %s sobre el cuerpo sin vida de %s y pronuncias una oración vengativa.
You pounce on %s with bestial fury!|¡Ponte en %s con furia bestial!
You pounce on the unaware %s!|¡Te cagas en el %s inconsciente!
You push %s out of the way.|empuja %s fuera del camino.
You reach down and close the %s%s%s.|Alcanza y cierra el %s%s%s.
You reflect %s with the mirror!|¡Reflexionas %s con el espejo!
You release %s from your service.|Liberas a %s de tu servicio.
You remember %s.|Te acuerdas de %s.
You rip the existence from %s to re-knit yourself!|¡madura la existencia de %s para volver a reconocerse!
You sap %s willpower!|¡Sap %s fuerza de voluntad!
You shatter the curse binding %s!|¡Rompiste el %s de la maldición!
You shatter%s|Te destrozas
You shudder from the %s and a %s!|¡Shudder del %s y un %s!
You sink your fangs into %s and drain %s dry!|frega sus colmillos en %s y drena %s seco!
You sink your fangs into %s and drink %s %s.|frega sus colmillos en %s y beber %s %s.
You siphon power from %s's fading %s.|Tu poder de sifonía del %s desapareciendo %s.
You slam the %s%s shut%s!|¡Llamaste al %s%s apagado!
You smite %s%s|golpea a %s%s
You spin and attack %s%s%s.|Giras y atacas %s%s%s.
You spit out %s as %s %s & %s in your maw!|¡Escupes %s como %s %s " %s en tu mandíbula!
You stop %s your %s.|Detienes a %s tu %s.
You sublimate a sliver of %s essence and reconstitute it in ice.|Sublimas un sliver de esencia %s y lo reconstituyes en hielo.
You swap places with %s.|Cambias lugares con %s.
You take a swig of the potion and twirl %s.|Tomas una ramita de la poción y twirl %s.
You utter a prayer to Makhleb and carve the %s into yourself.|pronuncia una oración a Makhleb y talla el %s en tú mismo.
You wrap your dark will around %s soul!|¡Envuelves tu oscuro testamento alrededor del alma %s!
Fallas%s %s%s.|You%s falla %s%s.
You'll get an extra life in %d.%02d levels' worth of XP.|Tendrás una vida extra en los niveles de %d.
You're confused, stopping %s.|Estás confundido, parando %s.
You're in a travel-excluded area, stopping %s.|está en un área excluida del viaje, parando %s.
Your %s attune%s to your body, and you begin to %s.|Tu %s attune%s a tu cuerpo, y tú comienza a %s.
Your %s blocks %s... and reflects it back!|Tu %s bloquea el %s y lo refleja de nuevo!
Your %s blocks the %s... and reflects it back!|Tu %s bloquea el %s y lo refleja de nuevo!
Your %s burns with power once more.|Tu %s se quema con energía una vez más.
Your %s feel%s oddly empty.|Tu %s se siente extrañamente vacía.
Your %s glows black for a moment.|Tu %s brilla negro por un momento.
Your %s meld%s into your body.|Tu %s meld%s en tu cuerpo.
Your %s misses %s.|Tu %s pierde %s.
Your %s unmeld%s from your body.|Tu %s sin fundición de tu cuerpo.
Your %s violently discharge electricity!|Tu %s descarga violentamente la electricidad!
Your attached jelly eats the %s!|¡Tu gelatina adjunta come el %s!
Your attack delay is about %.1f%s%s.|Tu retraso de ataque es aproximadamente %.1f%s%s.
Your base attributes are Str %d, Int %d, Dex %d.|Sus atributos base son Str %d, Int %d, Dex %d.
Your boots keep you from %s.|Tus botas te mantienen desde %s.
Your brain swirls with designs for %s. You just need some more time...|Tu cerebro gira con diseños para %s. Sólo necesitas más tiempo...
Your damage rating with %s is about %s|Tu calificación de daño con %s es sobre %s
Your fungus emits %s spores!|¡Tu hongo emite esporas %s!
Your grip on %s soul is slipping...|Tu agarre en el alma %s se desliza...
Your maw growls hungrily at the sight of %s, but you resist your urges.|Tu mandíbula crece a la vista de %s, pero tú resiste sus impulsos.
Your maw growls hungrily at the sight of %s.|Tu mandíbula crece a la vista del %s.
Your memory of %s unravels.|Tu memoria de %s se desentraña.
Your mindless puppet%s behind%s.|Tu marioneta insensata%s detrás de%s.
Your mouth is %s empty.|Tu boca está vacía.
Your mutated metabolism churns, savouring the %s.|Tu metabolismo mutado brota, saboreando el %s.
Your paragon deflects %s attack away from you.|Tu paragon desvía el ataque %s lejos de usted.
Your summoned %s left behind.|Tu citada %s dejó atrás.
Your tendrils lash around %s %s and pull it to the ground!|¡Tus pañuelos se revuelven alrededor de %s %s y lo tiran al suelo!
Your will lashes out at %s%s|Tu testamento se desvanece en %s%s
Zin imprisons %s with walls of pure silver!|Encarcelamientos de zinc %s con paredes de plata pura!
Zot clock should be between 0 and %d|El reloj de Zot debe estar entre 0 y %d
adding %s on index %d (%d)|añadir %s en el índice %d (%d)
connector placement failed at %d %d|la colocación del conector falló en %d %d
tentacle connect failed! What the heck!  severed status %d|¡La conexión del tentáculo falló! ¡Qué diablos! estado grave %d
unknown item: %s|elemento desconocido: %s
your slimy shroud breaks as it bends %s attack away%s|tu slimy shroud rompe mientras dobla el ataque %s lejos%s

# Bot QA fixes
%s is wounded.|%s está herido.
%s is lightly wounded.|%s está ligeramente herido.
%s is moderately wounded.|%s está moderadamente herido.
%s is heavily wounded.|%s está gravemente herido.
%s is severely wounded.|%s está severamente herido.
%s is almost dead.|%s está casi muerto.
%s bites you but does no damage.|%s te muerde pero no te hace daño.
The %s bites you but does no damage.|El %s te muerde pero no te hace daño.
%s attacks as it pursues you!|¡%s te ataca mientras te persigue!
Hit %s|Golpeas a %s
Hit the %s|Golpeas al %s
Confirm with . or Enter, or press ? or * to list all spells.|Confirma con . o Enter, o pulsa ? o * para listar hechizos.
